TargetYear,Scenario,Action,Total_CumEAD_P05,Total_CumEAD_P50,Total_CumEAD_P95,InFP_CumEAD_P50,OutFP_CumEAD_P50,Num_Buildings
2040,P50,Baseline,3243825.75718258,3899481.31466631,5924052.03749671,3899481.31466631,0,60
2040,P50,Raise Utilities,2686836.33675083,3078466.13839279,4785998.24577318,3078466.13839279,0,60
2040,P50,WFP B,2284231.29825125,2518414.81943598,3580587.18353136,2518414.81943598,0,60
2040,P50,Elevate,0,0,28600.0069842513,0,0,60
2040,P50,WFP 1st,0,0,0,0,0,60
2040,P90,Baseline,3273086.90348636,3901086.95129322,5966012.26998547,3901086.95129322,0,60
2040,P90,Raise Utilities,2708085.52808385,3094812.10939085,4871843.68807664,3094812.10939085,0,60
2040,P90,WFP B,2299660.04876881,2522122.64742637,3629138.99055621,2522122.64742637,0,60
2040,P90,Elevate,0,0,24807.6262367984,0,0,60
2040,P90,WFP 1st,0,0,0,0,0,60
2055,P50,Baseline,7883895.9832137,9564811.91483705,13798180.1430614,9564028.58132059,0,60
2055,P50,Raise Utilities,6098942.64884106,7311452.30226605,10771863.6653454,7311452.30226605,0,60
2055,P50,WFP B,4968820.17451134,5700606.13599729,8025721.18588519,5700606.13599729,0,60
2055,P50,Elevate,0,0,248495.323068244,0,0,60
2055,P50,WFP 1st,0,0,2544.96611932595,0,0,60
2055,P90,Baseline,8285501.17306914,9995426.88014573,14702226.5130199,9987612.10869092,0,60
2055,P90,Raise Utilities,6352789.85767681,7605249.54848994,11703409.0003888,7605249.54848994,0,60
2055,P90,WFP B,5125268.01939848,5888238.42790269,8622362.05985702,5888238.42790269,0,60
2055,P90,Elevate,0,0,686392.1531134,0,0,60
2055,P90,WFP 1st,0,0,3379.55570582286,0,0,60
2100,P50,Baseline,70517579.1004879,79294664.5888864,91969299.4597374,77251334.103336,1740746.70017478,60
2100,P50,Raise Utilities,56292834.9760199,63839838.3998909,75313793.3278651,62847214.5347233,706648.48207662,60
2100,P50,WFP B,37677488.5084022,42796685.780078,50649090.7400915,42562243.6917786,102208.769176143,60
2100,P50,Elevate,630486.651781968,2329453.02305577,12438944.4787238,612377.457919179,1740746.70017478,60
2100,P50,WFP 1st,2111.5433340719,9901.79143018561,31279.0313373357,9901.79143018561,0,60
2100,P90,Baseline,107836982.052966,119432756.919494,135101480.367729,110069608.402283,9494238.66904838,60
2100,P90,Raise Utilities,88182451.5625368,98456030.4165443,112835599.535047,92315586.7955419,6325353.32024657,60
2100,P90,WFP B,59992554.1159991,67010805.9080942,76685680.8293706,65285632.2264562,1677409.57474416,60
2100,P90,Elevate,7152599.38222791,15216423.4853638,29125079.1774598,5756509.72707717,9494238.66904838,60
2100,P90,WFP 1st,30634.6650595308,49009.6052339044,77325.6928906084,49009.6052339044,0,60
