TargetYear,Scenario,Action,Total_CumEAD_P05,Total_CumEAD_P50,Total_CumEAD_P95,InFP_CumEAD_P50,OutFP_CumEAD_P50,Num_Buildings
2040,P50,Baseline,1422417.45431139,2154265.74084983,4523731.51436447,2100179.50268016,52629.0442684565,222
2040,P50,Raise Utilities,374195.047038504,838062.810747321,2434362.7136588,836138.254070915,0,222
2040,P50,WFP B,96650.2749440012,374517.170568259,1329551.38923687,374517.170568259,0,222
2040,P50,Elevate,0,52629.0442684565,522328.765173925,0,52629.0442684565,222
2040,P50,WFP 1st,0,0,0,0,0,222
2040,P90,Baseline,1671059.30392339,2477956.89649256,5176254.74516313,2415595.0567914,63846.2324806117,222
2040,P90,Raise Utilities,494070.901766261,1016227.86962012,2939398.13289167,1012586.07403264,472.300013336337,222
2040,P90,WFP B,149926.358895911,468470.731736319,1648190.01389449,468470.731736319,0,222
2040,P90,Elevate,0,63846.2324806117,628217.394867614,0,63846.2324806117,222
2040,P90,WFP 1st,0,0,0,0,0,222
2055,P50,Baseline,4027440.25951731,5571831.7840272,10297105.4997182,5367674.7461355,222991.611240653,222
2055,P50,Raise Utilities,1450800.68891503,2455233.57075186,5939143.60905876,2423641.49027353,20101.5937126034,222
2055,P50,WFP B,572493.935954601,1188908.0305811,3372623.71653919,1188908.0305811,0,222
2055,P50,Elevate,38771.3528588095,222991.611240653,1815127.15088711,0,222991.611240653,222
2055,P50,WFP 1st,0,0,0,0,0,222
2055,P90,Baseline,5097338.8530133,6929538.77072981,12905823.9490651,6615267.11594721,324867.604969152,222
2055,P90,Raise Utilities,2117728.43536578,3302879.33613008,8003097.74298408,3270171.06989019,37478.5629833376,222
2055,P90,WFP B,983899.209649691,1692722.80543832,4686465.72116703,1692722.80543832,0,222
2055,P90,Elevate,81130.6849048664,324867.604969152,3325473.80912746,0,324867.604969152,222
2055,P90,WFP 1st,0,0,0,0,0,222
2100,P50,Baseline,21023945.8568184,26947594.0732717,43380630.8961498,24504349.8233089,2284832.84638915,222
2100,P50,Raise Utilities,10775700.7155078,14810343.8204174,29622851.1018401,14260424.6100496,479256.779869848,222
2100,P50,WFP B,5843358.56837761,8297860.96409568,19318482.1446628,8289618.98071719,0,222
2100,P50,Elevate,1177905.52199156,2325616.55396625,16540351.2484168,0,2284832.84638915,222
2100,P50,WFP 1st,0,0,0,0,0,222
2100,P90,Baseline,53302228.6276037,66513458.798021,90406516.4280628,54168439.3847529,11981601.1292848,222
2100,P90,Raise Utilities,32591728.1222596,42850702.0067592,64090156.7377723,37098135.4428791,5431830.40053523,222
2100,P90,WFP B,19125528.4363221,26039500.6201073,42434941.6107438,24375789.1810264,990317.810943819,222
2100,P90,Elevate,7268738.23596017,14148407.6538131,35666545.4987122,2297495.05649967,11981601.1292848,222
2100,P90,WFP 1st,0,0,0,0,0,222
