id,occupancy_type,building_type,number_of_stories,area,foundation_type,foundation_height,year_built,ground_elevation,address,longitude,latitude,structure_value,content_value,FFE_ft,Floodplain_Status,TargetYear,Scenario,Action,CumEAD_P05,CumEAD_P50,CumEAD_P95
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2040,P50,Baseline,0,0,0
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2040,P50,Raise Utilities,0,0,0
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2040,P50,WFP B,0,0,0
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2040,P50,Elevate,0,0,0
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2040,P50,WFP 1st,0,0,0
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2040,P90,Baseline,0,0,0
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2040,P90,Raise Utilities,0,0,0
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2040,P90,WFP B,0,0,0
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2040,P90,Elevate,0,0,0
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2040,P90,WFP 1st,0,0,0
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2055,P50,Baseline,0,0,0
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2055,P50,Raise Utilities,0,0,0
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2055,P50,WFP B,0,0,0
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2055,P50,Elevate,0,0,0
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2055,P50,WFP 1st,0,0,0
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2055,P90,Baseline,0,0,0
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2055,P90,Raise Utilities,0,0,0
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2055,P90,WFP B,0,0,0
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2055,P90,Elevate,0,0,0
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2055,P90,WFP 1st,0,0,0
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2100,P50,Baseline,0,0,143977.489163457
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2100,P50,Raise Utilities,0,0,123977.489163457
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2100,P50,WFP B,0,0,0
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2100,P50,Elevate,0,0,143977.489163457
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2100,P50,WFP 1st,0,0,0
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2100,P90,Baseline,0,0,231891.409062749
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2100,P90,Raise Utilities,0,0,209112.131063719
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2100,P90,WFP B,0,0,0
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2100,P90,Elevate,0,0,231891.409062749
579512986,RES2,H,1,1041.13,S,2,1980,14.9173347110367,NaN,-77.000187,37.57761,173575.881,86787.9406,16.9173347110367,Out of floodplain,2100,P90,WFP 1st,0,0,0
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2040,P50,Baseline,12401.5626728591,86226.3244159373,264726.560449564
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2040,P50,Raise Utilities,0,28536.233889278,185412.840919588
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2040,P50,WFP B,0,16209.6901234844,170012.860228506
579512987,RES1-1SNB,W,1,1917.26,S,0.5,1980,5.73633750801563,NaN,-76.9972635,37.5749975,158933.363,79466.6815,6.23633750801563,In floodplain,2040,P50,Elevate,0,0,0
