ID,occupancy_type,building_type,number_of_stories,area,foundation_type,foundation_height,year_built,ground_elevation,address,longitude,latitude,structure_value,content_value
"46007","RES1-2SNB","C","2","2638","S","0.5","1984","12.452","109 Old Point Rd","-72.4235","40.87869","339779.6","169889.8"
"46009","RES1-1SNB","C","1","1590.7","C","1.5","1984","12.9193","Cuffee Dr","-72.4374","40.8764","269533.3","134766.7"
"46010","RES1-1SWB","C","1","828.1","B","2","1984","24.5217","412 Old Soldiers Rd","-72.4273","40.8828","130910.2","65455.08"
"46011","RES1-1SNB","C","1","753.8","S","0.5","1984","25.0269","","-72.43","40.88138","106616.1","53308.03"
"46012","RES1-1SWB","W","1","2220.3","B","2","1984","11.3916","229 Round Swamp Rd","-72.4312","40.87204","364147","182073.5"
"46013","GOV1","C","1","5293.3","B","2","1984","11.3167","31 Church St","-72.4315","40.87291","836764.9","418382.4"
"46015","RES1-3SNB","W","3","5577.1","C","1.5","1984","20.6135","Sunset Trl","-72.4361","40.88395","721683.2","360841.6"
"46016","RES1-2SNB","C","2","1821.6","C","1.5","1984","7.2458","Little Beach Rd","-72.4401","40.87319","263765.7","131882.8"
"46017","RES1-2SNB","W","2","3474.6","C","1.5","1984","7.1535","","-72.4368","40.88144","521412.4","260706.2"
"46018","RES1-2SNB","C","2","1346.7","C","1.5","1984","5.5621","144 Old Point Rd","-72.4259","40.87182","194995.2","97497.6"
"46019","RES1-1SNB","C","1","1576.5","C","1.5","1984","7.5362","333 Little Beach Rd","-72.4399","40.87258","267118.8","133559.4"
"46021","RES1-2SWB","W","2","3218","B","2","1984","18.7085","Gwatney Flds","-72.4297","40.87806","465657.5","232828.7"
"46022","RES1-2SNB","C","2","2844.7","S","0.5","1984","21.8832","426 Old Soldiers Rd","-72.4324","40.88114","366392.2","183196.1"
"46023","RES1-2SWB","W","2","1080.8","B","2","1984","11.5352","128 Arabash Rd","-72.424","40.87318","156396.7","78198.33"
"46024","RES1-2SWB","W","2","2467.1","B","2","1984","19.9912","105 Old Point Rd","-72.4253","40.87966","357002.1","178501.1"
"46025","RES1-2SNB","C","2","2056","C","1.5","1984","10.568","152 Old Point Rd","-72.4276","40.86942","245080","122540"
"46026","RES1-2SWB","C","2","2724.4","B","2","1984","13.946","","-72.4296","40.87458","378359.1","189179.6"
"46027","RES1-1SWB","M","1","1433.4","B","2","1984","15.8474","529 W Gate Rd","-72.4343","40.87742","274295.4","137147.7"
"46028","RES1-1SWB","C","1","1277.1","B","2","1984","17.17","524 W Gate Rd","-72.4348","40.87832","201884","100942"
"46029","RES1-2SNB","C","2","1637.7","C","1.5","1984","15.0571","Fishcow Lndg","-72.4356","40.87691","195208.4","97604.18"
"46031","RES3A","W","2","4103.5","B","2","1984","12.4936","127 Arabash Rd","-72.424","40.87348","593792.9","296896.4"
"46032","RES1-2SNB","C","2","3025","S","0.5","1984","14.2125","","-72.4231","40.8805","389625.2","194812.6"
"46033","RES1-1SWB","C","1","1253","B","2","1984","11.2481","243 W Church St","-72.4352","40.87296","198077.4","99038.7"
"46034","RES1-1SNB","M","1","383.5","C","1.5","1984","7.5649","167 Old Point Rd","-72.4257","40.87024","76537.02","38268.51"
"46035","RES1-2SNB","W","2","1731.5","C","1.5","1984","9.2706","151 Old Point Rd","-72.4269","40.86955","259836.1","129918.1"
"46036","RES1-2SNB","W","2","2556.1","S","0.5","1984","8.9044","137 Old Point Rd","-72.4271","40.86731","369880.8","184940.4"
"46037","RES1-2SNB","W","2","3270.6","S","0.5","1984","24.6117","409 Old Soldiers Rd","-72.4266","40.88271","438467","219233.5"
"46039","RES1-2SNB","C","2","2222.4","S","0.5","1984","9.8529","154 Old Point Rd","-72.4278","40.86882","286250.3","143125.1"
"46040","COM4","C","2","8781.9","B","2","1984","13.6398","1 Church St","-72.4301","40.87198","1219627","609813.8"
"46041","RES1-2SNB","W","2","1904.1","S","0.5","1984","11.0838","533 Little Church Rd","-72.4332","40.87556","255277.4","127638.7"
"46042","RES1-1SWB","W","1","1672.9","B","2","1984","9.8479","239 W Church St","-72.4334","40.87289","274370.6","137185.3"
"46043","RES2","H","2","1375.6","C","2","1984","11.0708","245 Cemetary Rd","-72.4361","40.87286","283917.7","141958.8"
"46044","RES1-1SNB","W","1","2397.5","W","1","1984","12.0882","245 Cemetary Rd","-72.4362","40.873","354402.1","177201.1"
"46045","RES1-2SNB","C","2","2328.8","C","1.5","1984","18.2093","Sunset Trl","-72.4368","40.8835","277588.2","138794.1"
"46047","RES1-1SNB","W","1","1146.8","C","1.5","1984","9.7825","156 Old Point Rd","-72.4273","40.86845","199801.8","99900.91"
"46048","RES1-2SNB","C","2","1058.2","C","1.5","1984","11.5294","Dump Rd","-72.4283","40.86969","153231.7","76615.85"
"46049","COM6","C","2","5219.3","S","0.5","1984","11.9948","101 Church St","-72.4306","40.87209","672251","336125.5"
"46050","RES1-2SNB","W","2","2521.6","C","1.5","1984","7.1892","","-72.4399","40.87218","378404.4","189202.2"
"46051","RES1-1SNB","M","1","1183.2","C","1.5","1984","8.0355","Oyster Pond Rd","-72.4231","40.87128","236176.7","118088.4"
"46052","RES1-1SWB","C","1","1211.5","B","2","1984","22.0211","305 Little Beach Rd","-72.4283","40.88097","191517.1","95758.54"
"46053","RES1-3SNB","W","3","8034.8","S","0.5","1984","14.1267","223 Church St","-72.43","40.87339","1007558","503778.8"
"46054","RES1-1SWB","C","1","1425.4","B","2","1984","17.5721","314 Little Beach Rd","-72.4301","40.87746","225325.7","112662.8"
"46055","RES1-2SNB","C","2","3050.9","S","0.5","1984","11.4267","530 W Gate Rd","-72.4375","40.87714","392961.1","196480.5"
"46056","RES1-2SNB","W","2","1540.8","C","1.5","1984","10.9334","329 Little Beach Rd","-72.4392","40.87451","231218","115609"
"46058","RES1-2SWB","W","2","5309.1","B","2","1984","17.2544","220 Church St","-72.4279","40.874","768248","384124"
"46059","RES1-2SWB","C","2","5738","B","2","1984","23.7078","424 Old Soldiers Rd","-72.4314","40.88072","796896.2","398448.1"
"46060","RES1-2SNB","C","2","2360.3","C","1.5","1984","8.4233","237 Round Swamp Rd","-72.4317","40.86938","281343","140671.5"
"46061","RES1-1SWB","C","1","1116.7","B","2","1984","15.7083","432 Little Beach Rd","-72.4325","40.87663","176520","88260.02"
"46062","RES1-2SNB","M","2","3067.5","C","1.5","1984","17.5012","526 W Gate Rd","-72.4355","40.87845","468714","234357"
"46063","RES1-1SNB","W","1","2163.4","C","1.5","1984","13.8117","","-72.4367","40.88188","376921.4","188460.7"
"46064","RES1-2SNB","C","2","3424.6","C","1.5","1984","11.7989","126 Arabash Rd","-72.4229","40.87356","495885","247942.5"
"46065","RES1-2SNB","W","2","2069.7","C","1.5","1984","7.8901","167 Old Point Rd","-72.4255","40.86995","310584.5","155292.2"
"46066","RES1-2SNB","C","2","2999.9","C","1.5","1984","7.4929","3 E Creek Way","-72.4262","40.8691","357585.7","178792.9"
"46067","RES1-3SWB","W","3","4353.9","B","2","1984","16.0433","137 Church St","-72.4267","40.8754","575759.7","287879.9"
"46068","RES1-1SNB","C","1","1209.5","C","1.5","1984","10.4514","154 Old Point Rd","-72.42782413959505","40.86899607148513","204942.8","102471.4"
"46069","RES1-1SNB","W","1","957.1","C","1.5","1984","5.8108","E Point Rd","-72.4291","40.86356","142251.9","71125.95"
"46070","REL1","C","2","5190.5","S","0.5","1984","10.9379","100 Church St","-72.4322","40.8729","668539","334269.5"
"46071","RES1-3SNB","W","3","4825.9","C","1.5","1984","12.3108","513 W Gate Rd","-72.4352","40.88215","624470.2","312235.1"
"46072","RES1-1SNB","C","1","1044.7","C","1.5","1984","7.3384","148 Old Point Rd","-72.4257","40.87078","177019.1","88509.53"
"46073","RES1-2SWB","C","2","1843.3","B","2","1984","18.2633","Gwatney Flds","-72.4294","40.87745","255997.8","127998.9"
"46074","COM4","C","2","2707.2","C","1.5","1984","11.0843","31 Church St","-72.4312","40.87303","322693.5","161346.7"
"46075","RES1-1SNB","W","1","1027.3","S","0.5","1984","16.417","527 W Gate Rd","-72.4354","40.87784","168488.7","84244.35"
"46076","RES1-1SNB","W","1","1255.8","C","1.5","1984","11.7022","517 W Gate Rd","-72.4361","40.88107","218792.2","109396.1"
"46077","RES1-2SNB","M","2","3071.1","S","0.5","1984","13.7987","1 Old Point Rd E","-72.4234","40.87596","533136","266568"
"46078","RES1-2SNB","W","2","3388","C","1.5","1984","16.7331","Old Point Rd","-72.4242","40.879","508410.8","254205.4"
"46079","RES1-2SNB","C","2","2867","S","0.5","1984","13.5607","130 Old Point Rd","-72.4252","40.87469","369272.2","184636.1"
"46080","RES1-2SWB","W","2","1727.5","B","2","1984","17.3685","321 Little Beach Rd","-72.4333","40.87684","249979.6","124989.8"
"46082","RES1-2SWB","C","2","2098.7","B","2","1984","10.6175","135 Arabash Rd","-72.4262","40.87314","291470.2","145735.1"
"46083","RES1-2SWB","W","2","2539.5","B","2","1984","11.7831","Old Point Rd","-72.4275","40.87015","367470","183735"
"46084","RES1-1SNB","C","1","2703.2","S","0.5","1984","15.9998","218 Church St","-72.4286","40.87518","382339.2","191169.6"
"46085","RES1-2SWB","C","2","1877.3","B","2","1984","20.4519","312 Little Beach Rd","-72.4295","40.87871","260715.5","130357.8"
"46086","RES1-1SNB","W","1","1043","S","0.5","1984","6.7272","332 Little Beach Rd","-72.4388","40.87295","171053.8","85526.89"
"46087","RES1","H","1","1663.6","B","3","1984","24.2601","404 Middle Gate Rd","-72.4247","40.88366","288794.4","144397.2"
"46088","RES1-1SNB","M","1","1144","S","0.5","1984","9.7344","133A Arabash Rd","-72.4248","40.87325","196312.1","98156.06"
"46089","RES1-1SNB","W","1","1017","W","1.5","1984","7.5995","165 Old Point Rd","-72.4264","40.86872","150329.6","75164.81"
"46090","RES1-2SNB","C","2","3543.5","S","0.5","1984","12.2307","118 Old Point Rd","-72.4272","40.87266","492124.1","246062"
"46091","RES1-2SNB","C","2","2054.7","S","0.5","1984","10.5714","244 Cemetary Rd","-72.4354","40.87228","285362.3","142681.2"
"46092","RES1-1SNB","C","1","1004.3","S","0.5","1984","13.0678","325 Little Beach Rd","-72.4367","40.87538","158761.3","79380.66"
"46093","RES1-2SNB","M","2","3093.4","S","0.5","1984","17.5714","114 Old Point Rd","-72.4252","40.87721","502371.4","251185.7"
"46094","RES1-2SNB","W","2","1604.2","C","1.5","1984","8.2403","158 Old Point Rd","-72.4256","40.86755","240736","120368"
"46095","RES1-2SNB","C","2","2532.9","S","0.5","1984","10.2455","134 Arabash Rd","-72.4259","40.87264","326237.5","163118.8"
"46096","RES1-2SNB","W","2","853.4","C","1.5","1984","7.6069","3 E Creek Way","-72.4254","40.86934","106222.8","53111.4"
"46097","RES1-2SNB","C","2","2254.9","S","0.5","1984","16.4848","216 Church St","-72.4281","40.8758","290433.7","145216.9"
"46098","RES1-2SNB","W","2","1595","S","0.5","1984","24.8841","432 Old Soldiers Rd","-72.4309","40.88199","213828.9","106914.4"
"46099","RES1-2SNB","W","2","1970.4","S","0.5","1984","14.9226","520 W Gate Rd","-72.4349","40.87997","264155.2","132077.6"
"46101","RES1-2SNB","C","2","1901.9","C","1.5","1984","15.0273","117 Old Point Rd","-72.4248","40.87595","275393.7","137696.8"
"46102","RES1-2SNB","C","2","1505.4","S","0.5","1984","16.2879","Old Point Rd","-72.4262","40.87595","193899.4","96949.69"
"46103","RES1-2SWB","M","2","2262.5","B","2","1984","21.4921","202 Church St","-72.4264","40.87988","392776.9","196388.5"
"46104","RES1-1SNB","W","1","1273.5","S","0.5","1984","19.3879","317 Little Beach Rd","-72.4323","40.87759","186223.6","93111.79"
"46105","RES1-2SNB","C","2","2111.8","S","0.5","1984","11.0907","131 Arabash Rd","-72.4237","40.87226","293289.6","146644.8"
"46106","RES1","W","2","4219.2","U","3","1984","20.6815","405 Middle Gate Rd","-72.4246","40.8829","565637.5","282818.7"
"46107","RES1-2SNB","C","2","2202.9","C","1.5","1984","22.0028","Sunset Trl","-72.4366","40.88304","318977","159488.5"
"46108","RES1-1SNB","W","1","1172.5","C","1.5","1984","10.3334","130 Arabash Rd","-72.423","40.87215","204277.6","102138.8"
"46109","RES1-2SWB","C","2","1412.3","B","2","1984","19.9589","201 Church St","-72.4259","40.87908","196145","98072.47"
"46110","RES1-1SWB","W","1","1504.2","B","2","1984","19.1521","209 Church St","-72.4277","40.87808","246707.4","123353.7"
"46111","RES1-2SNB","C","2","3052.9","C","1.5","1984","25.1805","432 Old Soldiers Rd","-72.4309","40.8819","363903.3","181951.7"
"46112","RES1-2SWB","C","2","2695.4","B","2","1984","20.4398","424 Old Soldiers Rd","-72.4314","40.88034","374342.7","187171.4"
"46113","RES1-3SWB","C","3","2894.9","B","2","1984","15.9878","521 W Gate Rd","-72.4319","40.87636","465503","232751.5"
"46114","RES1-1SNB","S","1","3220.9","C","1.5","1984","14.9829","","-72.4367","40.87463","573755.4","860633.1"
"46115","RES1-2SWB","W","2","1665.6","B","2","1984","13.7427","139 Old Point Rd","-72.4263","40.8745","241019.6","120509.8"
"46116","RES1-1SWB","C","1","1387.1","B","2","1984","21.7841","306 Little Beach Rd","-72.4279","40.87991","219268","109634"
"46117","RES1-1SWB","C","1","935.9","B","2","1984","3.62","241 W Church St","-72.4336","40.87284","147954.7","73977.33"
"46118","RES1-1SNB","W","1","1293.4","C","1.5","1984","13.6861","Old Point Rd E","-72.4225","40.87663","192227.3","96113.65"
"46119","RES1-2SNB","S","1","3463.4","C","1.5","1984","16.2709","","-72.4244","40.87947","551176.2","551176.2"
"46120","RES1-1SWB","C","1","1415.6","B","2","1984","11.0631","138 Old Point Rd","-72.4255","40.87395","223779.6","111889.8"
"46121","IND3","C","1","31000","C","1.5","1984","10.681","","-72.4273","40.86867","4343309","6514963"
"46122","RES2","H","2","1443.8","B","2","1984","21.96","","-72.4307","40.88037","317643","158821.5"
"46123","RES1-1SNB","C","1","714.5","C","1.5","1984","8.8124","169 Old Point Rd","-72.4258","40.86822","102773.4","51386.7"
"46124","RES1-2SNB","C","2","1568.6","C","1.5","1984","8.4915","Old Point Rd","-72.427","40.86917","186981.9","93490.94"
"46125","RES1-1SNB","C","1","766.2","C","1.5","1984","8.6188","130 Arabash Rd","-72.4227","40.87226","110203.3","55101.65"
"46126","RES1-3SNB","C","3","2146.4","C","1.5","1984","20.6209","100 E Gate Rd","-72.4239","40.88188","338272.3","169136.2"
"46128","RES1-2SNB","C","2","1804.1","C","1.5","1984","11.1577","122 Arabash Rd","-72.4223","40.87477","215044.4","107522.2"
"46129","RES1","W","1","2117.3","S","0.5","1984","20.9997","Church St","-72.4249","40.88132","283856.4","141928.2"
"46130","RES1-2SNB","C","2","2557.3","S","0.5","1984","9.5356","133 Arabash Rd","-72.4254","40.87329","329380.2","164690.1"
"46131","RES1-2SWB","C","2","2191.6","B","2","1984","20.3269","204 Church St","-72.4267","40.87926","304369.4","152184.7"
"46132","RES1-2SNB","W","2","1419.3","S","0.5","1984","17.6341","W Gate Rd","-72.4365","40.88009","190280","95139.99"
"46133","RES1-2SWB","W","2","1840.3","B","2","1984","11.6142","128 Arabash Rd","-72.4239","40.87296","266297.6","133148.8"
"46134","RES1-2SNB","W","2","1757.7","C","1.5","1984","15.1675","115 Old Point Rd","-72.4245","40.87679","263772.3","131886.2"
"46135","RES1-2SNB","M","2","719.3","C","1.5","1984","7.1389","Oyster Pond Rd","-72.4246","40.87144","109906.3","54953.14"
"46136","RES1-1SNB","W","1","815.8","C","1.5","1984","21.1868","103 Old Point Rd","-72.4248","40.88061","142134.9","71067.45"
"46137","RES1-2SNB","W","2","2808","C","1.5","1984","12.4752","Dump Rd","-72.4304","40.87033","349494.9","174747.5"
"46138","RES1-2SNB","W","2","1326.1","C","1.5","1984","8.8694","Swamp Rd","-72.4293","40.86865","165054.2","82527.1"
"46139","RES1-2SNB","W","2","2334.9","C","1.5","1984","8.7835","240 W Church St","-72.4334","40.87201","290611","145305.5"
"46140","RES1-2SNB","M","2","4243.1","C","1.5","1984","11.7568","248 W Church St","-72.4354","40.87353","648348.7","324174.4"
"46141","RES1-1SNB","W","1","1401.3","C","1.5","1984","9.5492","162 Old Point Rd","-72.4265","40.86619","208260.9","104130.4"
"46142","RES1-2SWB","C","2","2717.7","B","2","1984","19.2134","211 Church St","-72.4272","40.87765","377434.2","188717.1"
"46143","RES1-2SWB","W","2","2097.9","B","2","1984","22.187","304B Little Beach Rd","-72.4275","40.88105","303568.7","151784.4"
"46144","RES1-1SWB","W","1","878.6","S","0","1984","15.1926","222 Church St","-72.4286","40.87347","144096.9","72048.47"
"46145","RES1-2SNB","W","2","2520.9","C","1.5","1984","7.4312","161 Old Point Rd","-72.4278","40.86598","313756.3","156878.2"
"46146","RES1-3SNB","W","3","6017.9","S","0.5","1984","16.9149","Gwatney Flds","-72.4281","40.87687","754638.4","377319.2"
"46147","RES1-2SWB","W","2","6678.3","B","2","1984","18.1993","Gwatney Flds","-72.4286","40.87684","966379.6","483189.8"
"46148","RES1-2SNB","C","2","3534.4","C","1.5","1984","20.9638","","-72.432","40.88043","421298.1","210649.1"
"46149","RES1-2SNB","C","2","2512.1","S","0.5","1984","13.3858","250 W Church St","-72.4355","40.87392","323553.3","161776.7"
"46150","RES1-2SNB","W","2","1446.7","C","1.5","1984","13.2485","Little Beach Rd","-72.4377","40.87398","217102.7","108551.4"
"46151","RES1-1SNB","C","1","1168.1","C","1.5","1984","11.7569","327 Little Beach Rd","-72.4383","40.87403","168025.3","84012.63"
