Category,TargetYear,Action,SLR,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P25,P50,P75,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99
RES_InFP,Potential,No mitigation,50th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_InFP,Potential,No mitigation,90th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_InFP,Potential,Raise Utilities,50th-percentile,10291273.6809253,10291273.6809253,10291273.6809253,10291273.6809253,10291273.6809253,10392625.1260913,10578612.6650798,10651873.1410141,10831695.0205121,10914040.3114935,13413829.0522886,19876360.0032571,38100049.3801639,66196222.5394931,69390294.1183465,72830461.8123109,76763780.3224008,84982433.7002888,98112972.31882,109268884.585396,124617676.64125,142260308.216582,166736608.693621
RES_InFP,Potential,Raise Utilities,90th-percentile,11954582.1847211,11954582.1847211,11954582.1847211,11954582.1847211,12039814.951354,12276410.1131871,12414995.2457304,12572006.1159606,12705911.6372081,12858038.2332042,15787547.3603378,23170951.96509,38777399.1116749,69991606.6624876,73785496.8762284,77642810.2048637,83058980.3993645,90120243.5716985,99097609.473196,106368180.597323,141502908.581516,176968771.25794,211913790.861958
RES_InFP,Potential,WFP B,50th-percentile,986105.658594755,986105.658594755,986105.658594755,986105.658594755,986105.658594755,1010237.9199921,1055694.54641723,1073528.26946594,1116432.31011326,1136579.10916881,1757435.10527329,3771474.09519518,11265913.0913939,25757117.9139669,27566022.392988,29580598.4764381,31942330.5893746,37078043.2488742,45527947.9199768,52846066.7955406,63407126.8582996,76295259.8240489,95005059.8279728
RES_InFP,Potential,WFP B,90th-percentile,1382878.73025498,1382878.73025498,1382878.73025498,1382878.73025498,1404058.97942301,1461167.60082115,1495077.56409529,1536037.31538652,1570491.4862376,1609943.96927591,2443229.02174977,4875883.33614422,11584091.5861415,27914107.7688666,30148381.1432018,32481019.5650199,35860299.9481512,40355167.4116864,46168197.4727337,50917534.5193194,75730408.3812698,102967212.181944,131205219.046564
RES_InFP,Potential,Elevate,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_InFP,Potential,Elevate,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_InFP,Potential,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_InFP,Potential,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_InFP,2040,No mitigation,50th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_InFP,2040,No mitigation,90th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_InFP,2040,Raise Utilities,50th-percentile,394986887.147623,416712485.275596,428999287.638751,437613103.547474,443497669.021113,452776314.156341,462121274.058428,469131386.800582,473898584.667874,477856549.359924,547938224.717764,647119326.101422,762225154.905407,877634054.061316,899357206.533285,928260935.443679,946837110.697888,962407860.793775,979557960.543767,1006705958.48754,1038722832.26889,1088722402.64717,1180810970.12014
RES_InFP,2040,Raise Utilities,90th-percentile,463831993.584623,484357499.354012,496725687.361465,503434501.262326,520150689.638367,527441642.298162,536973875.85664,543911384.290806,550749798.586032,556391484.668685,619931374.419034,724299154.547917,846723632.085482,969562067.796249,983334342.618634,997124071.916736,1013244707.89988,1030005118.31143,1051634540.49153,1077568828.67024,1103500698.75184,1153376066.44614,1216919472.4365
RES_InFP,2040,WFP B,50th-percentile,95610426.8563073,106540497.439652,111305362.546181,114661772.998186,118088891.872696,121080610.888552,125282134.572958,128775382.184364,131641810.394408,135205644.540522,174140610.734451,228751520.692669,303249340.086907,388601720.974349,405419006.001851,419143188.20921,432465299.814203,449020240.853692,470658378.297325,492412774.605365,516803424.142858,556835105.37673,610476301.56067
RES_InFP,2040,WFP B,90th-percentile,123474166.534594,132412308.63061,138573148.516193,144425851.432116,148572442.327413,154990637.755497,158973265.406475,163857632.8978,167827313.891504,170426333.26963,203222213.840733,269970276.281877,346656587.574516,445373249.988175,454277214.595829,463307568.269298,476970573.449154,491164707.38527,509976578.800698,531979307.004925,550116786.816077,573908390.886149,670245953.052753
RES_InFP,2040,Elevate,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3353167.56424255,16630319.3422717,42464815.766144,59719571.7998094,86760169.4388367,165137591.693042,252239226.816892
RES_InFP,2040,Elevate,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2240651.81712175,9697572.52351534,20045688.5567461,30734360.8997608,43630790.09924,75443855.3795857,129032516.502232,242593400.271021,322498744.864532
RES_InFP,2040,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0379221017502,24335.5074700808
RES_InFP,2040,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18014.5531074804,399830.424334324
RES_InFP,2055,No mitigation,50th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_InFP,2055,No mitigation,90th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_InFP,2055,Raise Utilities,50th-percentile,1100784627.63866,1134542672.85665,1168789338.39996,1191580435.66369,1211840495.20643,1229778601.8593,1247524873.00851,1269587815.44351,1281141505.80982,1296071974.5361,1407159110.13689,1547191999.96006,1713702512.79718,1876632984.84961,1898599368.19744,1935551610.38319,1958831006.76472,1990153264.09403,2026372726.81057,2065480931.0091,2115074294.34573,2187854337.79496,2286922962.80335
RES_InFP,2055,Raise Utilities,90th-percentile,1352650962.96711,1406555915.4265,1450570980.05374,1485363129.68487,1500882800.48037,1525547313.71678,1542065219.33775,1553164087.92294,1565281537.54189,1570344539.9272,1689249390.05723,1846841192.7287,2040361469.91359,2228857782.81131,2251498006.19836,2264515997.77614,2289904845.76758,2320641363.51987,2361468577.99128,2394715768.18464,2427641611.98893,2496409829.82861,2636777674.74163
RES_InFP,2055,WFP B,50th-percentile,340439784.57114,361298620.961855,379217294.886643,388167111.734121,403360991.693363,413452820.420802,422382797.862496,432584739.891111,436335355.870946,444996527.380828,518902971.258005,610148556.955054,727383184.911213,844793507.837945,863470435.654834,876551455.623184,892287307.156197,932201334.99403,958064891.861169,1006877468.31907,1043247600.04035,1095789544.94902,1145553896.99904
RES_InFP,2055,WFP B,90th-percentile,464845919.258255,494056220.933483,521886242.899323,536006417.282809,551708946.648683,567834990.623331,574926618.770138,583262894.035442,589819423.637044,596289638.419499,671696939.84709,774522721.056701,910195282.470982,1053565599.7773,1079690160.48869,1095343580.73971,1115413434.16847,1130095510.49869,1150414926.36877,1180317397.33428,1215653353.99053,1269368368.50412,1384897854.80432
RES_InFP,2055,Elevate,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,53287795.9596663,63795953.4857431,74047667.1806672,89819150.9565849,121562314.730786,147333284.930002,180307122.883778,234182496.362477,290509756.227311,403031731.379756
RES_InFP,2055,Elevate,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,71678414.5297975,84265242.5708182,100355031.554831,131164056.51611,167870908.336056,195871714.111293,243568208.499515,276318875.946574,320753178.192377,372332628.822881
RES_InFP,2055,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0379221017502,12322.0864581685,116017.64870272,2655357.80701636
RES_InFP,2055,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783.872107332849,12452.038056324,33414.9232482252,184199.174491504,3001384.53538542
RES_InFP,2100,No mitigation,50th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_InFP,2100,No mitigation,90th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_InFP,2100,Raise Utilities,50th-percentile,5187065424.96127,5256710668.49149,5330284094.48497,5384524933.04046,5437279828.85512,5464299616.20093,5495501834.99872,5508704942.37752,5539901829.0157,5559751626.19496,5825954946.74662,6082206514.8139,6400473987.81417,6731066750.46077,6753505198.36173,6779879748.26673,6799542504.10519,6869955271.97233,6927110068.01944,7008686240.06227,7060535407.74745,7135831547.03161,7325435918.67813
RES_InFP,2100,Raise Utilities,90th-percentile,8646953093.88862,8775197577.89498,8826725882.35584,8863842486.17221,8905032874.61223,8939136188.17728,8971020679.70489,9000232371.71167,9014796039.50913,9044678925.06414,9335322377.67552,9666456752.46672,9984828251.07104,10326118402.4944,10389665666.3762,10420629089.9372,10476502762.464,10514392908.5463,10565729194.2312,10619187878.7784,10683128857.2572,10780433383.34,10883488917.9612
RES_InFP,2100,WFP B,50th-percentile,2237808444.70385,2288809580.53731,2340673296.51444,2375717812.07607,2410702565.45977,2434623250.87549,2448741868.0544,2461720356.20569,2484631255.70204,2502290420.59283,2690415100.03285,2874846906.86255,3122528173.09628,3374696398.81577,3402250869.24352,3432798169.59291,3461669429.54156,3492562164.98869,3526922458.93506,3553020773.28799,3588869019.38963,3687079560.13522,3821670221.24858
