BuildingID,Longitude,Latitude,OccupancyType,OccupancyGroup,SOID,StructureValue,ContentValue,GroundElevation_ft,FFE_ft,DFE_Status,ManufRestriction,OccupancyFallback
7467853,-72.822302,40.774249,RES1-2SWB,RES,R12B,413188.67,206594.33,7.7378,9.7378,Under DFE,0,0
7489193,-72.853052,40.747321,RES3A,RES,R3A3N,692984.57,346492.29,1.5413,9.5413,Under DFE,0,0
7509587,-72.818264,40.775982,RES1-2SWB,RES,R12B,337614.66,168807.33,9.6774,11.6774,Above DFE,0,0
8294334,-72.865837,40.75972,RES1-1SWB,RES,R11B,239878.17,119939.09,14.2875,16.2875,Above DFE,0,0
7024118,-72.872882,40.757698,COM8,NONRES,C8LN,900005.48,900005.48,14.2873,14.7873,Above DFE,0,0
7024120,-72.872915,40.757825,RES1-1SNB,RES,R11N,341638.94,170819.47,13.8404,15.3404,Above DFE,0,0
7024122,-72.872789,40.75736,COM2,NONRES,C2LN,1303951.95,1303951.95,12.8582,13.3582,Above DFE,0,0
7028015,-72.871102,40.75138,RES4,RES,R4LN,1603718.58,801859.29,7.6291,8.1291,Under DFE,0,0
7028017,-72.871226,40.751891,RES1-1SWB,RES,R11B,401343.03,200671.52,8.2297,10.2297,Above DFE,0,0
7028019,-72.869266,40.750158,RES1-1SWB,RES,R11B,418263.95,209131.97,4.8619,6.8619,Under DFE,0,0
7028021,-72.868092,40.751562,RES1-1SWB,RES,R11B,170836.99,85418.5,2.6013,4.6013,Under DFE,0,0
7028023,-72.869369,40.750567,RES1-1SWB,RES,R11B,211626.45,105813.23,4.1647,6.1647,Under DFE,0,0
7028025,-72.871343,40.751008,COM8,NONRES,C8LN,568468.33,568468.33,8.6962,9.1962,Under DFE,0,0
7028027,-72.867866,40.751097,RES1-1SWB,RES,R11B,235630.8,117815.4,4.0979,6.0979,Under DFE,0,0
7028029,-72.86859,40.7481,RES1-1SWB,RES,R11B,280176.57,140088.28,5.3915,7.3915,Under DFE,0,0
7028031,-72.86865,40.752684,RES1-1SWB,RES,R11B,251041.54,125520.77,4.589,6.589,Under DFE,0,0
7028033,-72.869164,40.749786,RES1-2SWB,RES,R12B,473049.25,236524.62,4.3704,6.3704,Under DFE,0,0
7028035,-72.869427,40.750705,RES1-1SWB,RES,R11B,283043.82,141521.91,4.6724,6.6724,Under DFE,0,0
7028037,-72.871272,40.752655,RES1-2SWB,RES,R12B,415694.83,207847.42,9.2082,11.2082,Above DFE,0,0
7028039,-72.868462,40.752213,RES1-1SWB,RES,R11B,396906.5,198453.25,4.27,6.27,Under DFE,0,0
7028041,-72.869937,40.751271,RES1-2SNB,RES,R12N,876108.36,438054.18,7.9225,15.9225,Above DFE,0,0
7028043,-72.868828,40.748389,RES1-2SWB,RES,R12B,209454.34,104727.17,4.2614,6.2614,Under DFE,0,0
7028045,-72.868813,40.748525,RES1-1SWB,RES,R11B,263844.69,131922.35,3.7371,5.7371,Under DFE,0,0
7028047,-72.868514,40.752465,RES1-2SWB,RES,R12B,321236.97,160618.48,5.7385,7.7385,Under DFE,0,0
7028049,-72.869263,40.750023,RES1-1SWB,RES,R11B,324435.77,162217.89,4.8003,6.8003,Under DFE,0,0
7028051,-72.86931,40.750444,RES1-1SWB,RES,R11B,299419.96,149709.98,4.0941,6.0941,Under DFE,0,0
7028053,-72.868729,40.752843,RES1-2SWB,RES,R12B,354994.07,177497.03,3.775,5.775,Under DFE,0,0
7028055,-72.869494,40.750836,RES1-2SWB,RES,R12B,243826.33,121913.16,5.9019,7.9019,Under DFE,0,0
7028057,-72.868248,40.751955,RES1-1SWB,RES,R11B,170836.99,85418.5,3.7694,5.7694,Under DFE,0,0
7028059,-72.868956,40.749402,RES1-2SWB,RES,R12B,376137.92,188068.96,3.5744,5.5744,Under DFE,0,0
7028061,-72.868548,40.752544,RES1-2SNB,RES,R12N,185512.62,92756.31,3.8171,5.3171,Under DFE,0,0
7028063,-72.87131,40.752017,RES1-1SWB,RES,R11B,263844.69,131922.35,8.46,10.46,Above DFE,0,0
7028065,-72.868835,40.748768,RES1-1SWB,RES,R11B,297646.8,148823.4,5.094,7.094,Under DFE,0,0
7028067,-72.871211,40.752346,RES1-2SWB,RES,R12B,253761.98,126880.99,8.0257,10.0257,Above DFE,0,0
7466647,-72.819366,40.773176,RES1-1SNB,RES,R11N,162103.08,81051.54,3.9796,11.9796,Above DFE,0,0
7466649,-72.832424,40.776391,RES1-1SNB,RES,R11N,190774.65,95387.33,14.9731,22.9731,Above DFE,0,0
7466651,-72.829169,40.776049,RES1-2SNB,RES,R12N,313998.68,156999.34,16.6457,24.6457,Above DFE,0,0
7466653,-72.83498,40.775778,RES1-2SNB,RES,R12N,289839.73,144919.86,18.6148,26.6148,Above DFE,0,0
7466655,-72.820394,40.772883,RES1-1SNB,RES,R11N,242825.72,121412.86,7.586,15.586,Above DFE,0,0
7466659,-72.824903,40.772819,RES1-3SNB,RES,R13N,422098.8,211049.4,5.4214,6.9214,Under DFE,0,0
7466661,-72.829036,40.775866,RES1-1SNB,RES,R11N,373260.78,186630.39,15.7828,17.2828,Above DFE,0,0
7466662,-72.83346,40.776145,RES1-2SNB,RES,R12N,334108.12,167054.06,15.2074,23.2074,Above DFE,0,0
7466663,-72.818846,40.773236,RES1-2SNB,RES,R12N,203138.04,101569.02,3.0323,4.5323,Under DFE,0,0
7466665,-72.8158593177796,40.7738549970709,RES1-1SNB,RES,R11N,126503.63,63251.82,3.7759,5.2759,Under DFE,0,0
