Category,TargetYear,Action,SLR,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P25,P50,P75,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99
RES_UnderDFE,2025,No mitigation,50th-percentile,11711.7769195608,11711.7769195608,11711.7769195608,11711.7769195608,11711.7769195608,11860.0176790579,12129.1969007856,12232.9872565889,12802.1068056403,13081.5817517025,21406.7362119864,43550.5512921284,126634.266606883,457823.375519434,478513.391630213,495488.475290997,511515.603999827,541874.157958393,590435.837622179,640222.932876668,744970.52935228,919926.150637605,1149808.46206809
RES_UnderDFE,2025,No mitigation,90th-percentile,11711.7769195608,11711.7769195608,11711.7769195608,11711.7769195608,11822.1201861246,12119.6753329331,12332.4174641642,12815.95245037,13222.7256060199,13681.9387057658,22428.4300780209,46566.7637870415,112380.010454593,442690.923204293,470262.260456557,490295.945374726,511941.427890609,537069.301400393,568733.106757643,594375.669753229,824801.892542404,1163259.59285597,1408413.23075868
RES_UnderDFE,2025,Raise Utilities,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,341.448163413088,31294.2448586341,250960.952025013,264724.219757978,275806.072796931,285876.316594519,301931.51916576,323505.222274402,346319.949655636,415341.362493197,551971.770686929,727415.12280883
RES_UnderDFE,2025,Raise Utilities,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,721.260012080762,23824.5975446572,240757.768331502,259337.629335286,272416.230685848,286118.464871663,299558.220718042,314861.874338044,324679.361111587,475976.914185005,738168.957676216,916970.813487739
RES_UnderDFE,2025,WFP B,50th-percentile,11711.7769195608,11711.7769195608,11711.7769195608,11711.7769195608,11711.7769195608,11860.0176790579,12129.1969007856,12232.9872565889,12802.1068056403,13081.5817517025,21406.7362119864,42080.9524941624,93497.9291934723,205815.370720096,212040.707357695,217369.178071074,222211.23823587,229760.969725039,242727.566184373,257431.741601128,283716.182567455,339832.116149707,429653.409992496
RES_UnderDFE,2025,WFP B,90th-percentile,11711.7769195608,11711.7769195608,11711.7769195608,11711.7769195608,11822.1201861246,12119.6753329331,12332.4174641642,12815.95245037,13222.7256060199,13681.9387057658,22428.4300780209,43767.6738169511,83911.5121732274,201406.082743256,209450.681194074,215739.24539209,222327.670027424,228659.284373727,236444.066215328,244055.285781916,308108.508583839,437084.139143464,612078.439478135
RES_UnderDFE,2025,Elevate,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_UnderDFE,2025,Elevate,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_UnderDFE,2025,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_UnderDFE,2025,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_UnderDFE,2040,No mitigation,50th-percentile,1391290.15455986,1495294.3508353,1602360.9175298,1695629.37209829,1743159.24197978,1793600.9643233,1866499.30352188,1917038.36045708,1942004.68277495,2012825.52852402,2635903.16990237,3471001.65129571,4405903.50609384,5429698.80147406,5631238.37655735,5721243.84952677,5953604.01220303,6134926.48572975,6333065.0586578,6579224.88093145,6811760.30137665,7435002.51331401,7869618.9829862
RES_UnderDFE,2040,No mitigation,90th-percentile,1347205.77697963,1483678.46382052,1617625.58099262,1706725.15629213,1798656.49155371,1883224.05257943,1935168.89413211,2000018.16571917,2042794.42863754,2093454.31653628,2630535.15352152,3496513.14499872,4411019.41469987,5431216.44857336,5512045.51104665,5606688.05649593,5806208.00513535,6052206.57198221,6288021.19290528,6432232.61442368,6648241.35714081,6996626.18423304,8024121.88248611
RES_UnderDFE,2040,Raise Utilities,50th-percentile,337506.049508517,394183.486101304,455959.055826347,511944.258389714,543471.821405968,583540.743827241,626952.088769369,656435.521264652,667916.79977838,708647.710587253,1103301.72043203,1635243.84027896,2246366.02249226,3015054.86459321,3095215.00732165,3278274.47439915,3390702.96466074,3449918.94444456,3556706.77343395,4002662.72288004,4270669.77747043,4564898.59240386,5125971.32599452
