BuildingID,Longitude,Latitude,OccupancyType,OccupancyGroup,SOID,StructureValue,ContentValue,GroundElevation_ft,FFE_ft,DFE_Status,ManufRestriction,OccupancyFallback,ElevationEligible
579512986,-77.0000839233398,37.5774823761332,RES2,RES,R21N,173575.88,86787.94,14.83,16.83,Above DFE,1,0,0
579512987,-76.9972635,37.5749975,RES2,RES,R21N,158933.36,79466.68,5.7363,11.7363,Above DFE,1,0,0
579512988,-77.0036566257477,37.5784325711254,RES2,RES,R21N,197181.02,98590.51,11.82,13.82,Above DFE,1,0,0
579512989,-77.00291521,37.57583802,RES2,RES,R21N,267814.75,133907.38,12.33,13.83,Above DFE,1,0,0
579512990,-76.9990673661232,37.5750866405268,RES1,RES,R12N,246568.46,123284.23,8.79,10.79,Above DFE,0,0,0
579513006,-77.000773,37.572578,RES2,RES,R21N,183311.3,91655.65,8.3592,11.3592,Above DFE,1,0,0
579513007,-77.005322,37.5785765,RES2,RES,R21N,212466.58,106233.29,11.63,13.63,Above DFE,1,0,0
579513008,-77.00648336,37.5750528,REL1,NONRES,RE1LN,147011.75,73505.88,12.64,14.64,Above DFE,0,0,0
579513009,-77.0117381215096,37.576706480849,RES2,RES,R21N,231250.46,115625.23,11.83,13.83,Above DFE,1,0,0
579513010,-77.00576441,37.57842078,RES1,RES,R11N,187039.01,93519.5,12.07,15.07,Above DFE,0,0,0
579513011,-77.0018514990807,37.574633844214,RES2,RES,R21N,141073.85,70536.92,10.88,12.88,Above DFE,1,0,0
579513012,-77.00090556,37.57230673,RES4,RES,R4LN,140230.95,70115.47,7.5876,8.0876,Under DFE,1,0,1
579513013,-77.00663656,37.57347527,RES1,RES,R11N,173299.91,86649.95,10.07,11.57,Above DFE,0,0,0
579513014,-76.99735141,37.57419176,RES1,RES,R11N,263287.4,131643.7,6.3471,6.8471,Under DFE,0,0,1
579513015,-77.00848652,37.57710274,RES2,RES,R21N,322456.9,161228.45,11.06,13.06,Above DFE,1,0,0
579513016,-77.0001778006554,37.569535975563,RES2,RES,R21N,255593.18,127796.59,4.9322,7.4322,Under DFE,1,0,1
579513017,-77.0073698,37.57631952,RES4,RES,R4LN,234919.03,117459.51,10.44,10.94,Above DFE,1,0,0
579513018,-76.9932952523232,37.574485037313,RES1,RES,R11N,260503.11,130251.55,8.68,9.18,Above DFE,0,0,0
579513019,-76.9995895,37.571748,RES2,RES,R21N,139255.01,69627.51,4.5299,7.0299,Under DFE,1,0,1
579513020,-77.00627714,37.57433836,RES2,RES,R21N,234068.41,117034.21,12.0861,14.0861,Above DFE,1,0,0
579513021,-77.00514793396,37.5725016255095,RES2,RES,R21N,151731.99,75865.99,7.27,9.27,Above DFE,1,0,0
579513022,-77.0100376009941,37.5787131633007,RES2,RES,R21N,175019.69,87509.85,10.7319,12.7319,Above DFE,1,0,0
579513023,-77.00658646,37.57741962,RES1,RES,R11N,243600.88,121800.44,9.79,11.79,Above DFE,0,0,0
579513024,-77.00383939,37.57942817,RES2,RES,R21N,192951.6,96475.8,10.38,12.38,Above DFE,1,0,0
579513025,-77.0059740543366,37.5728141279811,RES1,RES,R11N,167168.47,83584.23,8.67,9.67,Above DFE,0,0,0
579513026,-76.9926086068154,37.5759752187149,RES4,RES,R4LN,261843.66,130921.83,2.82,3.32,Under DFE,1,0,1
579513027,-77.0076905,37.5782755,RES2,RES,R21N,222042.43,111021.22,10.9,12.9,Above DFE,1,0,0
579513028,-77.01200198,37.57717306,RES1,RES,R11N,166511.8,83255.9,12.6,13.1,Above DFE,0,0,0
579513029,-77.0054376125336,37.5715556066329,RES2,RES,R21N,240843.43,120421.71,7.56,10.06,Above DFE,1,0,0
579513030,-76.9936573505402,37.5745764473017,RES1,RES,R12N,224582.55,112291.27,10.09,11.09,Above DFE,0,0,0
579513031,-77.0069873,37.5758867,RES1,RES,R11N,255415.96,127707.98,12.09,14.09,Above DFE,0,0,0
579513032,-77.00418167,37.5748102,RES2,RES,R21N,168509.43,84254.72,10.57,12.57,Above DFE,1,0,0
579513033,-76.99509499,37.57444163,RES1,RES,R12N,290641,145321,6.3267,8.3267,Under DFE,0,0,1
579534897,-76.99645896,37.57720353,RES2,RES,R21N,169885.84,84942.92,12.53,14.53,Above DFE,1,0,0
579534898,-76.99778389,37.57882271,RES1,RES,R12N,138870.02,69435.01,6.96,7.46,Under DFE,0,0,1
579534899,-76.99875561,37.5774463,RES1,RES,R11N,311493.3,155746.65,14.62,16.12,Above DFE,0,0,0
579534905,-77.0026078820229,37.5800268307843,RES4,RES,R4LN,141312.9,70656.45,9.72,10.22,Above DFE,1,0,0
579534906,-77.0025944709778,37.5793997593914,RES1,RES,R11N,147409.95,73704.98,10.15,12.65,Above DFE,0,0,0
579534907,-77.00148096,37.57914915,RES2,RES,R21N,190356.2,95178.1,9.24,11.24,Above DFE,1,0,0
579536184,-76.99329705,37.57617407,RES1,RES,R11N,400615.41,200307.7,6,7,Under DFE,0,0,1
579536842,-77.0089486241341,37.5799354274863,RES1,RES,R12N,87561.3,43780.65,11.17,13.17,Above DFE,0,0,0
579536843,-77.0107993483544,37.581489268291,RES2,RES,R21N,258203.36,129101.68,10.0743,12.0743,Above DFE,1,0,0
579536844,-77.009839117527,37.5823458862215,RES2,RES,R21N,224184.03,112092,17.5,19.5,Above DFE,1,0,0
579537054,-77.007753,37.580795,RES1,RES,R11N,149746.78,74873.39,11.23,11.73,Above DFE,0,0,0
579537067,-77.011919,37.580516,RES2,RES,R21N,137875.75,68937.87,10.06,13.06,Above DFE,1,0,0
10000001,-76.9996950030327,37.5733966120812,RES1,RES,R11N,270574,140000,11,11.5,Above DFE,0,0,0
10000002,-77.0035037398338,37.5787280431593,RES2,RES,R21N,207278,100000,9.47,10.47,Above DFE,1,0,0
10000003,-77.005335688591,37.5805093533115,RES2,RES,R21N,207278,100000,16,19,Above DFE,1,0,0
10000004,-77.0084991,37.5807492,RES4,RES,R4LN,178578,80000,11.67,12.17,Above DFE,1,0,0
10000005,-77.0091819763184,37.5823820212526,RES1,RES,R11N,178578,80000,17.28,17.78,Above DFE,0,0,0
10000006,-77.0124891400337,37.5789321094909,RES2,RES,R21N,207278,100000,12.05,15.05,Above DFE,1,0,0
10000007,-77.0133528113365,37.5780095551656,RES2,RES,R21N,178578,80000,12.13,14.13,Above DFE,1,0,0
10000008,-77.0009091,37.5741653,RES2,RES,R21N,207278,100000,13,15.5,Above DFE,1,0,0
10000009,-76.9992743,37.5698896,RES2,RES,R21N,189336,94668,9,12,Above DFE,1,0,0
10000010,-76.9990958,37.5695597,RES4,RES,R4LN,194308,97154,9,10.5,Above DFE,1,0,0
10000011,-76.9913079,37.5748534,RES1,RES,R12N,270574,140000,7.98,8.48,Under DFE,0,0,1
10000012,-77.0041718,37.5751793,RES1,RES,R11N,270574,140000,12.22,13.22,Above DFE,0,0,0
10000013,-77.0017871260643,37.5756733584143,RES4,RES,R4LN,178578,80000,12,14,Above DFE,1,0,0
10000014,-77.0046609,37.5781729,RES1,RES,R12N,270574,140000,12.38,13.38,Above DFE,0,0,0
10000015,-77.0041428,37.5789171,RES2,RES,R21N,207278,100000,9.26,12.26,Above DFE,1,0,0
10001,-77.00088859,37.5755692,COM8,NONRES,C8LN,342344,171172,10.01,10.51,Above DFE,0,0,0
10002,-77.00206608,37.57560958,COM8,NONRES,C8LN,262820,131410,12.48,12.98,Above DFE,0,0,0
10003,-76.99227333,37.57572863,RES4,RES,R4LN,179166,89583,4.17,4.67,Under DFE,1,0,1
10004,-76.99968696,37.5714727,RES4,RES,R4LN,197890,98945,4.49,4.99,Under DFE,1,0,1
10005,-76.9992685317993,37.5735284144206,RES2,RES,R21N,210837,105419,7.54,13.54,Above DFE,1,0,0
10007,-76.99765116,37.57418742,RES4,RES,R4LN,186766,93383,7.18,7.68,Under DFE,1,0,1
10008,-76.99751973,37.57437237,RES1,RES,R12N,198976,99488,7,8,Under DFE,0,0,1
10009,-76.99764848,37.57395358,RES4,RES,R4LN,211820,105910,6.02,6.52,Under DFE,1,0,1
10010,-76.99496359,37.57427458,RES4,RES,R4LN,186951,93476,6.03,6.53,Under DFE,1,0,1
10011,-76.99283928,37.57418317,RES4,RES,R4LN,188036,94018,4.33,4.83,Under DFE,1,0,1
10012,-76.9930324,37.5743171,RES4,RES,R4LN,183878,91939,5.9,6.4,Under DFE,1,0,1
10013,-76.99415088,37.57565423,RES4,RES,R4LN,237038,118519,7.8,8.3,Under DFE,1,0,1
10014,-76.99285805,37.57646202,RES4,RES,R4LN,181542,90771,3,3.5,Under DFE,1,0,1
10015,-76.99271858,37.57565635,RES4,RES,R4LN,191089,95545,5.37,5.87,Under DFE,1,0,1
