Key,Value
LOCATION,"Pamunkey"
BFE_FT_NAVD88,"7"
nBldgProcessed,"114"
n_res,"111"
n_nonres,"3"
n_occupancy_fallback,"0"
TARGET_YEARS,"2025, 2040, 2055, 2060, 2100"
TARGET_YEAR_LABELS,"2025, 2040, 2055, 2060, 2100"
ACTIONS,"0, 1, 2, 4, 3"
ACTION_NAMES,"No mitigation, Raise Utilities, WFP B, Elevate, WFP 1st"
SCENARIOS,"P50, P90"
SCENARIO_LABELS,"50th-percentile, 90th-percentile"
PERCENTILES,"P01, P02, P03, P04, P05, P06, P07, P08, P09, P10, P25, P50, P75, P90, P91, P92, P93, P94, P95, P96, P97, P98, P99"
RESTRICT_MANUF_LOC,"1"
ELEV_MIN_SHORTFALL_FT,"2"
