Category,TargetYear,Action,SLR,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P25,P50,P75,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99
RES_InFP,Potential,No mitigation,50th-percentile,33487.3092875742,33487.3092875742,33487.3092875742,33487.3092875742,33487.3092875742,33588.5351122144,33772.1847969192,33842.9459856227,34012.257248661,34090.4250577625,36228.2687061139,50508.0748348383,90571.2544200395,169267.130461453,180087.540361851,193074.055308626,207453.529105757,239433.95704865,294177.453863438,341090.054717988,418226.173869147,564323.986850018,828975.485180467
RES_InFP,Potential,No mitigation,90th-percentile,34937.3972965018,34937.3972965018,34937.3972965018,34937.3972965018,35012.7512406848,35215.780384269,35330.9022209882,35466.2183330107,35579.9773912877,35708.3139491767,37932.9718954022,59121.1571760996,92311.2656404492,185236.63748063,199689.153426263,213865.283034693,235388.840032303,266779.264897911,303532.217196933,334049.427762691,574944.836969998,982748.954690866,1480511.1705836
RES_InFP,Potential,Raise Utilities,50th-percentile,3657.19899764182,3657.19899764182,3657.19899764182,3657.19899764182,3657.19899764182,3727.32909528138,3854.56313230298,3903.58707545686,4020.88733406721,4075.04264575812,5556.15859941726,9438.96137972742,34044.0893521277,77524.2991354654,82007.6337184294,88865.4481140753,98631.870914606,119760.603592026,156071.976713131,198942.812646948,257677.324506892,342535.057505365,501638.980262968
RES_InFP,Potential,Raise Utilities,90th-percentile,4661.83209412141,4661.83209412141,4661.83209412141,4661.83209412141,4714.03793667058,4854.69822483163,4934.45559582123,5028.20372958127,5107.0169562722,5195.92959657389,6748.18808231062,11238.7225395496,35624.1239410708,84499.2454346907,93358.3694820828,102986.682547243,117199.160195461,136935.931225448,163532.217196933,193337.598789075,349204.318753724,610752.023624279,983065.648263204
RES_InFP,Potential,WFP B,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,6111.52585212766,48747.7076401396,52826.7080230114,58576.077155497,64975.5295515201,77628.2610137556,100244.939787533,129855.604520809,172392.430038791,225137.320744019,309555.364231018
RES_InFP,Potential,WFP B,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,7691.56044107079,55088.1065241927,61520.0656557774,67829.0215931707,76293.9626737297,87615.45324004,105484.821874933,125829.429445505,229230.820152398,362431.512027673,599543.983310224
RES_InFP,Potential,Elevate,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_InFP,Potential,Elevate,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_InFP,Potential,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_InFP,Potential,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_InFP,2040,No mitigation,50th-percentile,984945.83068816,1038048.12132293,1067510.92822914,1087829.34035432,1122297.14796665,1130333.76514225,1153665.23909242,1166054.4167722,1190591.83189813,1216526.15638349,1461087.06775763,1885099.82558311,2733472.48886743,3991962.86923838,4238221.76179296,4531770.23275115,4924490.13849684,5177725.99313086,5408113.24362956,5789080.96049337,6969920.68860101,7852158.90878955,9090184.6050544
RES_InFP,2040,No mitigation,90th-percentile,1153737.58755307,1202826.78237168,1231620.47712362,1286180.94078587,1306054.37891431,1335870.62843113,1370499.89270572,1397806.16362154,1421114.64190862,1435170.83713596,1677199.17011081,2219943.77295565,3110928.87243037,4915809.37335855,5046498.47781777,5325466.65402246,5462150.60203095,5893610.41515657,6120430.5646997,6561426.66469743,7623386.61645916,8537979.93187955,10539763.5090693
RES_InFP,2040,Raise Utilities,50th-percentile,276642.564213112,304679.249716235,317779.052841642,329118.339844899,337970.851506841,355391.37178995,365169.744339015,378582.885184162,383718.570425982,392894.908368522,554188.686552321,829035.400971032,1409812.20433741,2302788.6784783,2450688.56042999,2734179.30227543,2957368.10776824,3280752.69771172,3463957.72086585,4004621.45668312,4706233.27805194,5707102.0421758,6986103.23147945
RES_InFP,2040,Raise Utilities,90th-percentile,355079.086788045,380889.690808599,404876.189050791,422764.382550989,441276.810105127,460944.010458521,480601.179448084,492332.629708328,510025.671669774,523114.326750058,673506.030275121,1039193.88312596,1642505.19675821,2913274.42091621,3102150.08281691,3246467.82646036,3362432.94859009,3797433.00933314,4082965.26543918,4483310.53466301,5430811.34153163,6519777.70935478,8444664.27072511
RES_InFP,2040,WFP B,50th-percentile,53070.0320570008,64753.5176484576,76882.6204765604,89771.9130993397,96859.33679892,102926.253619165,110745.686408653,118012.458529024,123345.857611677,136369.459459212,247222.618433363,426245.917101974,771667.573452723,1373440.72897208,1488858.10674295,1641466.69813766,1853945.42376932,2059687.28400529,2390719.21274373,2815159.84106193,3345852.03962455,4372861.47762415,5539944.18087567
RES_InFP,2040,WFP B,90th-percentile,87218.4300570376,109688.018650774,125324.379431234,140009.148533715,151513.380487108,168037.481202086,178571.654597669,186697.534810763,194797.763469781,208415.777244744,314937.928084065,552112.803824993,915618.868997689,1788327.21242652,1927279.72726186,2054883.50588899,2158243.93180169,2523453.9980547,2832991.62396871,3197353.44439194,4059461.19095695,5314199.44421505,7285634.81072301
RES_InFP,2040,Elevate,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699640.503269811,1699029.92209496
