Category,TargetYear,Action,SLR,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P25,P50,P75,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99
RES_InFP,Potential,No mitigation,50th-percentile,855050.906402198,855050.906402198,855050.906402198,855050.906402198,855050.906402198,860126.387089281,869342.569911593,872833.573923974,881151.900529163,884997.10894447,984960.728761454,1208424.69346641,1983321.94934742,3503268.9998391,3598500.14100624,3686100.28947987,3761350.87343838,3888746.70007806,4095271.29657963,4408213.73111058,4957440.01531263,5868194.55563583,7136521.00199762
RES_InFP,Potential,No mitigation,90th-percentile,855050.906402198,855050.906402198,855050.906402198,855050.906402198,858828.849258767,869016.569600272,874690.767035866,881342.398426668,886939.063112588,893257.232595909,994706.522144169,1232296.14331669,1836348.1596114,3411095.5566817,3561061.25852888,3661639.77747726,3763211.46534523,3869783.64811687,3994741.05196503,4116635.26976399,5382329.94149206,7218891.59509332,9126497.16692642
RES_InFP,Potential,Raise Utilities,50th-percentile,540555.869739094,540555.869739094,540555.869739094,540555.869739094,540555.869739094,544005.471702365,550269.343898476,552621.993440671,558266.259615689,560914.50408132,626892.283507756,766852.822446005,1284580.55282803,2341624.42919222,2422111.78886552,2488172.00376769,2549784.28426925,2653820.20472243,2820906.30840423,3051503.873076,3498248.23627582,4228026.3574967,5204538.60298541
RES_InFP,Potential,Raise Utilities,90th-percentile,540555.869739094,540555.869739094,540555.869739094,540555.869739094,543123.586946317,550047.774478102,553869.807454603,558397.457966543,562251.952880651,566603.357423645,633504.621397823,780347.392457114,1191734.12696788,2282174.51864014,2390326.64365303,2467838.26539575,2551297.11320218,2638032.560286,2740128.00784731,2838157.46482535,3831891.82432241,5267968.15580804,6798195.51232255
RES_InFP,Potential,WFP B,50th-percentile,380004.814585588,380004.814585588,380004.814585588,380004.814585588,380004.814585588,381571.058482371,384415.082721063,385649.359340995,388718.620475593,390136.567840902,426283.385718368,514263.802450704,864832.240019639,1684583.09364482,1751484.5535744,1807038.47220122,1858624.26474458,1945106.15833745,2080756.51053741,2258792.66969643,2610797.47893355,3179422.22405626,3949925.10439324
RES_InFP,Potential,WFP B,90th-percentile,380004.814585588,380004.814585588,380004.814585588,380004.814585588,381170.650947956,384314.482200751,386335.599122001,388788.867901139,390852.676956152,393182.545926788,429815.638003375,524083.565178117,803185.210522032,1635341.39188086,1725078.66231413,1789942.3892845,1859908.17119271,1932293.2128084,2015094.34337658,2094792.20357459,2877148.42257687,4002797.61136901,5234204.58224895
RES_InFP,Potential,Elevate,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_InFP,Potential,Elevate,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_InFP,Potential,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_InFP,Potential,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
