BuildingID,Longitude,Latitude,OccupancyType,OccupancyGroup,SOID,StructureValue,ContentValue,GroundElevation_ft,FFE_ft,Floodplain_Status
579506619,-76.796475,37.538825,COM4,NONRES,C4LN,509954.52,509954.52,13.1270520463562,13.6270520463562,Out of floodplain
579506621,-76.79641,37.5385,COM3,NONRES,C3LN,1873374.67,1873374.67,11.9256539043426,12.4256539043426,Out of floodplain
579506623,-76.79700619,37.539738983,RES1,RES,R11N,131558.933,65779.4666,23.8789918986511,25.3789918986511,Out of floodplain
579506625,-76.79873231,37.542795577,RES1,RES,R11N,143758.983,71879.4917,25.9270826511383,27.4270826511383,Out of floodplain
579506627,-76.79708668,37.53985046,RES1,RES,R11N,119992.754,59996.3772,25.2456763854408,25.7456763854408,Out of floodplain
579506629,-76.80037368,37.544063397,RES1,RES,R11N,195388.416,97694.208,27.9786495591354,28.4786495591354,Out of floodplain
579506632,-76.798531,37.544898,IND5,NONRES,I5LN,2197434.91,3296152.37,19.3210261312485,19.8210261312485,Out of floodplain
579506634,-76.80053015,37.544008221,RES1,RES,R11N,195388.416,97694.208,28.1088724145126,29.6088724145126,Out of floodplain
579506636,-76.79726317,37.540242487,RES1,RES,R12N,218825.205,109412.602,21.8398105546379,29.8398105546379,Out of floodplain
579506638,-76.79723306,37.540101195,RES1,RES,R12N,148311.06,74155.5302,21.6930579696846,29.6930579696846,Out of floodplain
579506640,-76.799048,37.543623,RES3A,RES,R3A1B,396151.656,198075.828,26.2351338579178,28.2351338579178,Out of floodplain
579506642,-76.798861,37.5430125,RES1,RES,R11N,175135.127,87567.5639,26.9910271588516,28.4910271588516,Out of floodplain
579506644,-76.79896021,37.543207704,RES1,RES,R11N,125310.468,62655.234,26.6687271562195,28.1687271562195,Out of floodplain
579506646,-76.7981785,37.543795,RES1,RES,R13B,235284.48,117642.24,8.50989698748589,10.5098969874859,In floodplain
579506648,-76.797163,37.5399715,RES1,RES,R12N,226691.136,113345.568,24.5809828872108,32.5809828872108,Out of floodplain
579506650,-76.79807703,37.541767108,RES1,RES,R12B,285202.614,142601.307,24.3446152635193,26.3446152635193,Out of floodplain
