TargetYear,Scenario,Action,Total_CumEAD_P05,Total_CumEAD_P50,Total_CumEAD_P95,InFP_CumEAD_P50,OutFP_CumEAD_P50,Num_Buildings
2040,P50,Baseline,762917542.588518,1014754025.42268,1443096497.63757,1013045667.95025,2388821.12620346,7537
2040,P50,Raise Utilities,427068701.166504,627228112.595204,987732909.697722,627169474.082639,99226.4498545368,7537
2040,P50,WFP B,118890701.225968,230184839.238327,471375100.816881,230184839.238327,0,7537
2040,P50,Elevate,0,2388821.12620346,33210944.7136136,0,2388821.12620346,7537
2040,P50,WFP 1st,0,0,0,0,0,7537
2040,P90,Baseline,863652230.91243,1114160548.33996,1539886361.69557,1113080278.29769,3336276.98794023,7537
2040,P90,Raise Utilities,501082764.286956,703427763.720352,1074493956.94179,703087685.470722,176636.513173958,7537
2040,P90,WFP B,150224735.941496,270891449.077414,514858152.92703,270891449.077414,0,7537
2040,P90,Elevate,0,3336276.98794023,39173603.6426878,0,3336276.98794023,7537
2040,P90,WFP 1st,0,0,0,0,0,7537
2055,P50,Baseline,1923514363.44081,2336203659.58485,2987664264.17426,2322972045.45009,12211907.1239471,7537
2055,P50,Raise Utilities,1173229476.04151,1512145720.42909,2067412469.24447,1507380628.16219,1603385.64705704,7537
2055,P50,WFP B,406163513.39471,610857135.940452,996704217.136673,610857135.940452,0,7537
2055,P50,Elevate,475663.838790154,12211907.1239471,148543324.693861,0,12211907.1239471,7537
2055,P50,WFP 1st,0,0,0,0,0,7537
2055,P90,Baseline,2289589900.49192,2709448055.74424,3392109470.19291,2693325944.61188,16806525.570609,7537
2055,P90,Raise Utilities,1459948071.75118,1811263686.82034,2407874343.09568,1807918117.8316,2482238.61249054,7537
2055,P90,WFP B,558506464.264047,777083234.962206,1208399838.02426,776413626.463862,0,7537
2055,P90,Elevate,2538447.90695987,16806525.570609,233016802.26148,0,16806525.570609,7537
2055,P90,WFP 1st,0,0,783.798705494832,0,0,7537
2100,P50,Baseline,7753853699.36714,8551127536.23039,9768302357.7704,8433131801.91824,104984972.669967,7537
2100,P50,Raise Utilities,5329258988.07697,6033649841.75844,7104782592.96667,5989022701.84078,27947582.2634685,7537
2100,P50,WFP B,2414925748.023,2891569930.1642,3704669456.08738,2884335251.57587,0,7537
2100,P50,Elevate,48040661.6004302,108307004.35507,938943156.544213,0,104984972.669967,7537
2100,P50,WFP 1st,0,0,2825016.25295665,0,0,7537
2100,P90,Baseline,11952883392.096,12958003828.3993,14202625669.7262,12512238645.4413,415258812.955853,7537
2100,P90,Raise Utilities,8979451976.94723,9857407157.64665,10996253803.0236,9692728014.30837,154051219.635829,7537
2100,P90,WFP B,4872554169.11375,5530976565.43476,6424024020.44981,5494790288.02061,11834393.0186402,7537
2100,P90,Elevate,290464120.749772,544374768.309118,1446580987.6733,128788134.529919,415258812.955853,7537
2100,P90,WFP 1st,0,0,4837049.69481879,0,0,7537
