TargetYear,Scenario,Action,Total_CumEAD_P05,Total_CumEAD_P50,Total_CumEAD_P95,InFP_CumEAD_P50,OutFP_CumEAD_P50,Num_Buildings
2040,P50,Baseline,43041422.1327422,58645229.3924965,89451936.9806031,58620039.8732466,0,1576
2040,P50,Raise Utilities,31938233.2479917,44707290.1920176,70217867.7295723,44707290.1920176,0,1576
2040,P50,WFP B,25369066.9197961,36600638.3333329,58105579.9734566,36600638.3333329,0,1576
2040,P50,Elevate,0,0,1818708.91205076,0,0,1576
2040,P50,WFP 1st,0,0,1225.29325448058,0,0,1576
2040,P90,Baseline,43652806.7776905,58786805.3548429,88081766.2870267,58786805.3548429,0,1576
2040,P90,Raise Utilities,32481399.2064029,44723067.6873129,69033535.8732587,44723067.6873129,0,1576
2040,P90,WFP B,25825192.2816286,36651684.4443781,57497697.3875669,36651684.4443781,0,1576
2040,P90,Elevate,0,0,1684545.95272126,0,0,1576
2040,P90,WFP 1st,0,0,803.884266231151,0,0,1576
2055,P50,Baseline,125243678.713101,155589812.448777,228826498.867756,155084796.620769,375030.398363579,1576
2055,P50,Raise Utilities,95260587.0311927,120691117.003742,181272286.050009,120682484.42808,0,1576
2055,P50,WFP B,78607495.4021795,100787281.55176,151660508.173166,100787281.55176,0,1576
2055,P50,Elevate,0,375030.398363579,7156559.93193678,0,375030.398363579,1576
2055,P50,WFP 1st,0,0,5261.51102689812,0,0,1576
2055,P90,Baseline,134703822.003284,164476746.068808,245704761.387201,163697237.317258,494025.42425283,1576
2055,P90,Raise Utilities,103207300.10128,127895126.85354,197611129.876682,127882403.517453,4164.22979317395,1576
2055,P90,WFP B,85567372.8029293,106937326.618518,165840613.01873,106937326.618518,0,1576
2055,P90,Elevate,0,494025.42425283,21444737.4749955,0,494025.42425283,1576
2055,P90,WFP 1st,0,0,6539.50667946572,0,0,1576
2100,P50,Baseline,1072667616.21615,1231649909.80246,1504935054.29034,1168235069.68363,60682194.4781938,1576
2100,P50,Raise Utilities,874011507.054023,1007992032.39822,1261294308.54,984964806.87229,19922298.0412514,1576
2100,P50,WFP B,736520977.384246,848465639.465076,1085125998.49861,843786846.131014,2721738.10124505,1576
2100,P50,Elevate,38308665.098812,87225497.9415658,341241292.490853,27737021.4418525,60682194.4781938,1576
2100,P50,WFP 1st,20466.5156382641,34368.2382867931,843896.238756126,34368.2382867931,0,1576
2100,P90,Baseline,1750987935.71288,2007470373.75441,2354810145.35672,1798564670.98357,204338599.953195,1576
2100,P90,Raise Utilities,1455075410.83207,1684735724.54484,2008478248.22211,1566283184.14068,114771318.144424,1576
2100,P90,WFP B,1223719669.56238,1424331335.06021,1717314950.49273,1368500407.34976,50870064.9142831,1576
2100,P90,Elevate,223902723.807013,425155369.344202,760465639.452046,222184403.71099,204338599.953195,1576
2100,P90,WFP 1st,77512.9975088283,104365.969733782,1438810.62594491,104365.969733782,0,1576
